city ward,year,residential accounts,annual residential usage,average residential usage,commercial accounts,annual commercial usage,average commercial usage,total count,total consumption,average consumption
28,2003,2278,1633035.65,716.87,308,12540418.30,40715.64,2586,14173453.95,5480.84
29,2003,9176,2610976.77,284.54,78,1460402.28,18723.11,9254,4071379.05,439.96
30,2003,4336,2146093.10,494.95,78,2559957.54,32819.97,4414,4706050.64,1066.16
31,2003,10840,2971923.83,274.16,86,2476928.96,28801.50,10926,5448852.79,498.71
32,2003,6018,2431887.22,404.10,72,1957529.49,27187.91,6090,4389416.71,720.76
33,2003,7019,2426142.89,345.65,140,5124463.58,36603.31,7159,7550606.47,1054.70
34,2003,7339,2547997.98,347.19,220,5258652.13,23902.96,7559,7806650.11,1032.76
35,2003,10185,3372911.88,331.16,147,4253265.70,28933.78,10332,7626177.58,738.11
36,2003,11702,3474978.09,296.96,98,2499742.79,25507.58,11800,5974720.88,506.33
37,2003,13029,4325481.55,331.99,205,7014625.36,34217.68,13234,11340106.91,856.89
38,2003,10197,3316702.13,325.26,156,4849064.13,31083.74,10353,8165766.26,788.73
39,2003,8498,3800482.49,447.22,95,2834500.78,29836.85,8593,6634983.27,772.14
40,2003,8289,3278722.41,395.55,134,4243181.28,31665.53,8423,7521903.69,893.02
41,2003,13664,5892167.58,431.22,158,4312683.88,27295.47,13822,10204851.46,738.30
42,2003,11784,5073555.14,430.55,109,3084193.41,28295.35,11893,8157748.55,685.93
43,2003,8764,2975711.15,339.54,104,3202464.04,30792.92,8868,6178175.19,696.68
44,2003,15052,5160202.73,342.83,62,1614520.63,26040.66,15114,6774723.36,448.24
1,2002,8064,3991847.99,495.02,147,4604384.49,31322.34,8211,8596232.48,1046.92
2,2002,10054,4362157.28,433.87,243,12598106.17,51844.06,10297,16960263.45,1647.11
3,2002,10459,3581242.08,342.41,100,3255895.48,32558.95,10559,6837137.56,647.52
4,2002,10932,4347650.55,397.70,88,2804323.89,31867.32,11020,7151974.44,649.00
5,2002,14394,5472375.40,380.18,249,5750379.57,23093.89,14643,11222754.97,766.42
6,2002,11300,4429326.04,391.98,172,6848733.59,39818.22,11472,11278059.63,983.09
7,2002,8986,4223519.43,470.01,201,6288497.67,31286.06,9187,10512017.10,1144.23
8,2002,3947,2211667.03,560.34,231,7902716.04,34210.89,4178,10114383.07,2420.87
9,2002,8107,2980711.31,367.67,119,2755096.80,23152.07,8226,5735808.11,697.28
10,2002,8893,3355013.90,377.26,154,5040297.61,32729.21,9047,8395311.51,927.97
11,2002,11171,3902078.95,349.30,143,7017162.89,49071.07,11314,10919241.84,965.11
12,2002,9289,3403617.51,366.41,156,4307251.58,27610.59,9445,7710869.09,816.40
13,2002,8362,2838445.72,339.45,69,2008038.91,29102.01,8431,4846484.63,574.84
14,2002,3530,2253768.74,638.46,115,3110460.18,27047.48,3645,5364228.92,1471.67
15,2002,11352,4734816.73,417.09,171,3928374.31,22972.95,11523,8663191.04,751.82
16,2002,8450,3390932.55,401.29,94,1864813.17,19838.44,8544,5255745.72,615.14
17,2002,6896,2787302.36,404.19,42,494924.91,11783.93,6938,3282227.27,473.08
18,2002,3005,1682642.76,559.95,60,2137004.60,35616.74,3065,3819647.36,1246.21
19,2002,3778,2198579.10,581.94,67,2737181.85,40853.46,3845,4935760.95,1283.68
20,2002,4456,4163916.26,934.45,387,10038725.46,25939.86,4843,14202641.72,2932.61
21,2002,7184,3415673.22,475.46,116,2261338.13,19494.29,7300,5677011.35,777.67
22,2002,4568,2965098.92,649.10,230,5050478.66,21958.60,4798,8015577.58,1670.61
23,2002,11880,3753646.87,315.96,157,4905792.55,31247.09,12037,8659439.42,719.40
24,2002,10752,3870399.77,359.97,120,3304821.54,27540.18,10872,7175221.31,659.97
25,2002,10742,5481161.93,510.26,146,2696010.53,18465.83,10888,8177172.46,751.03
26,2002,5143,1833365.20,356.48,186,7452788.93,40068.76,5329,9286154.13,1742.57
