city ward,year,residential accounts,annual residential usage,average residential usage,commercial accounts,annual commercial usage,average commercial usage,total count,total consumption,average consumption
2,2001,9998,4335026.95,433.59,242,13222408.19,54638.05,10240,17557435.14,1714.59
3,2001,10391,3521972.06,338.94,98,3269956.77,33366.91,10489,6791928.83,647.53
4,2001,10896,4218445.20,387.16,87,2763154.30,31760.39,10983,6981599.50,635.67
5,2001,14340,5369122.73,374.42,248,5778688.49,23301.16,14588,11147811.22,764.18
6,2001,11251,4353744.50,386.97,171,6363879.78,37215.67,11422,10717624.28,938.33
7,2001,8983,4266214.24,474.92,204,6917241.70,33908.05,9187,11183455.94,1217.31
8,2001,3943,2227012.66,564.80,234,8186967.04,34987.04,4177,10413979.70,2493.17
9,2001,8091,3016090.27,372.77,120,3132450.01,26103.75,8211,6148540.28,748.82
10,2001,8877,3349336.72,377.31,154,5255673.27,34127.75,9031,8605009.99,952.83
11,2001,10976,3976244.28,362.27,145,7013373.19,48368.09,11121,10989617.47,988.19
12,2001,9187,3408009.87,370.96,154,4331184.60,28124.58,9341,7739194.47,828.52
13,2001,8199,2855653.43,348.29,67,1951874.25,29132.45,8266,4807527.68,581.60
14,2001,3355,2209854.06,658.67,114,3035546.36,26627.60,3469,5245400.42,1512.08
15,2001,11341,4655013.85,410.46,175,4222881.71,24130.75,11516,8877895.56,770.92
16,2001,8218,3281419.25,399.30,91,1906024.72,20945.33,8309,5187443.97,624.32
17,2001,6631,2741221.43,413.39,45,543347.07,12074.38,6676,3284568.50,492.00
18,2001,2721,1696694.63,623.56,62,2075908.65,33482.40,2783,3772603.28,1355.59
19,2001,3593,2229859.27,620.61,65,1949654.69,29994.69,3658,4179513.96,1142.57
20,2001,4338,4163582.89,959.79,378,9270112.71,24524.11,4716,13433695.60,2848.54
21,2001,7088,3404241.99,480.28,117,2104340.59,17985.82,7205,5508582.58,764.55
22,2001,4452,2992594.81,672.19,222,4831411.16,21763.11,4674,7824005.97,1673.94
23,2001,11825,3726867.84,315.17,149,4598113.35,30859.82,11974,8324981.19,695.25
24,2001,10748,3894799.43,362.37,124,4003328.08,32284.90,10872,7898127.51,726.47
25,2001,10598,5435196.02,512.85,146,3720898.28,25485.60,10744,9156094.30,852.21
26,2001,5085,1806286.49,355.22,187,7590589.95,40591.39,5272,9396876.44,1782.41
27,2001,3606,3232145.02,896.32,397,14586586.20,36742.03,4003,17818731.22,4451.34
28,2001,2152,1811014.53,841.55,306,13317236.79,43520.38,2458,15128251.32,6154.70
29,2001,9000,2843662.34,315.96,77,1610139.61,20910.90,9077,4453801.95,490.67
30,2001,3944,2275112.21,576.85,80,3037848.50,37973.11,4024,5312960.71,1320.32
31,2001,10764,3114919.49,289.38,86,3471284.72,40363.78,10850,6586204.21,607.02
32,2001,5310,2442112.63,459.91,70,1532422.81,21891.75,5380,3974535.44,738.76
33,2001,6924,2515765.46,363.34,140,5799967.78,41428.34,7064,8315733.24,1177.20
34,2001,7083,2735779.05,386.25,228,6192886.44,27161.78,7311,8928665.49,1221.26
35,2001,10149,3546581.75,349.45,148,4266433.70,28827.25,10297,7813015.45,758.77
36,2001,11634,3749972.70,322.33,100,2920641.33,29206.41,11734,6670614.03,568.49
37,2001,12887,4721186.00,366.35,206,7392671.64,35886.76,13093,12113857.64,925.22
38,2001,10191,3688273.46,361.91,155,4859368.55,31350.76,10346,8547642.01,826.18
39,2001,8260,3796278.60,459.60,96,3600344.00,37503.58,8356,7396622.60,885.19
40,2001,8159,3380221.02,414.29,130,4376502.91,33665.41,8289,7756723.93,935.79
41,2001,13519,5980259.09,442.36,157,4466534.04,28449.26,13676,10446793.13,763.88
42,2001,10374,5014602.03,483.38,110,3288797.05,29898.16,10484,8303399.08,792.01
43,2001,8743,3309385.92,378.52,105,3564434.76,33947.00,8848,6873820.68,776.88
44,2001,14752,5382330.58,364.85,60,1466866.20,24447.77,14812,6849196.78,462.41
1,2000,8001,3205059.95,400.58,148,4730288.41,31961.41,8149,7935348.36,973.78
2,2000,9909,3567370.52,360.01,245,12607962.50,51461.07,10154,16175333.02,1593.00
3,2000,10389,2821739.38,271.61,97,3094197.21,31898.94,10486,5915936.59,564.17
4,2000,10869,3425158.76,315.13,87,2194651.12,25225.87,10956,5619809.88,512.94
5,2000,14321,4395553.77,306.93,240,5427934.05,22616.39,14561,9823487.82,674.64
6,2000,11071,3366132.21,304.05,171,5715486.11,33423.90,11242,9081618.32,807.83
7,2000,8960,3883303.66,433.40,207,6436735.19,31095.34,9167,10320038.85,1125.78
8,2000,3939,2062795.75,523.69,233,7149130.68,30682.96,4172,9211926.43,2208.04
9,2000,8067,2836868.01,351.66,118,2739060.44,23212.38,8185,5575928.45,681.24
10,2000,8862,3174900.50,358.26,151,4727567.51,31308.39,9013,7902468.01,876.79
11,2000,10543,3691579.18,350.15,143,6087812.56,42572.12,10686,9779391.74,915.16
12,2000,8989,3245173.21,361.02,148,3406889.76,23019.53,9137,6652062.97,728.04
13,2000,8152,2462327.65,302.05,66,1785840.13,27058.18,8218,4248167.78,516.93
14,2000,3236,2063165.67,637.57,114,2821457.41,24749.63,3350,4884623.08,1458.10
15,2000,11275,4484968.21,397.78,175,3976573.18,22723.28,11450,8461541.39,739.00
16,2000,8030,2935912.02,365.62,89,1598742.85,17963.40,8119,4534654.87,558.52
17,2000,6501,2546205.08,391.66,46,431529.17,9381.07,6547,2977734.25,454.82
18,2000,2596,1402932.34,540.42,64,2232576.68,34884.01,2660,3635509.02,1366.73
19,2000,3450,1846965.17,535.35,65,1757347.43,27036.11,3515,3604312.60,1025.41
20,2000,4271,3890044.20,910.80,375,9032300.48,24086.13,4646,12922344.68,2781.39
21,2000,7043,3096088.00,439.60,116,2123911.99,18309.59,7159,5219999.99,729.15
22,2000,4316,2493404.86,577.71,220,4410367.44,20047.12,4536,6903772.30,1522.00
23,2000,11695,3526996.38,301.58,148,3908334.40,26407.66,11843,7435330.78,627.82
24,2000,10734,3675180.44,342.39,124,3316169.37,26743.30,10858,6991349.81,643.89
25,2000,10511,4875388.40,463.84,140,3220184.49,23001.32,10651,8095572.89,760.08
26,2000,4986,1469528.74,294.73,185,7520206.14,40649.76,5171,8989734.88,1738.49
27,2000,3542,2755854.55,778.05,395,13212781.65,33450.08,3937,15968636.20,4056.04
28,2000,2102,1611191.79,766.50,304,12809217.54,42135.58,2406,14420409.33,5993.52
29,2000,8954,2539488.22,283.61,77,1700882.36,22089.38,9031,4240370.58,469.53
30,2000,3769,2047148.66,543.15,79,2480385.05,31397.28,3848,4527533.71,1176.59
31,2000,10582,3067303.26,289.86,86,3432887.87,39917.30,10668,6500191.13,609.32
32,2000,5058,2063263.01,407.92,68,1200986.48,17661.57,5126,3264249.49,636.80
33,2000,6924,2406653.15,347.58,139,4764942.80,34280.16,7063,7171595.95,1015.38
34,2000,7016,2500717.68,356.43,225,5447031.72,24209.03,7241,7947749.40,1097.60
35,2000,10039,3290976.88,327.82,143,4155143.64,29056.95,10182,7446120.52,731.30
36,2000,11588,3295532.79,284.39,97,2732508.34,28170.19,11685,6028041.13,515.88
37,2000,12872,4346878.90,337.70,201,7807391.29,38842.74,13073,12154270.19,929.72
38,2000,10098,3144489.27,311.40,151,4587831.57,30382.99,10249,7732320.84,754.45
39,2000,8211,3446169.21,419.70,96,3443096.61,35865.59,8307,6889265.82,829.33
40,2000,7849,3018119.26,384.52,133,3873348.37,29122.92,7982,6891467.63,863.38
41,2000,13500,5254697.14,389.24,154,3836733.65,24913.85,13654,9091430.79,665.84
42,2000,10083,4288385.32,425.31,113,3034294.41,26852.16,10196,7322679.73,718.19
43,2000,8715,2743570.84,314.81,104,2945428.69,28321.43,8819,5688999.53,645.08
44,2000,14493,4484791.72,309.45,58,1502354.03,25902.66,14551,5987145.75,411.46
